56,45,the london school of economics and political science (lse),UK,United Kingdom,M,SP,VH,A,68,98,96,32,40,401,80,110,100,35,100,10,100,440,99,16,98,28,77
109,89,the university of adelaide,AU,Australia,L,FC,VH,A,54,144,37,267,16,701+,87,83,100,69,100,40,100,154,38,191,96,42,62
87,68,the university of auckland,NZ,New Zealand,L,FC,VH,A,82,65,41,231,19,687,62,198,100,68,92,108,92,220,94,28,100,9,68
15,22,the university of edinburgh,UK,United Kingdom,XL,FC,VH,A,98,25,97,26,72,176,59,216,99,100,100,33,100,12,48,141,100,6,86
163,153,the university of exeter,UK,United Kingdom,L,FC,VH,A,43,199,51,161,27,555,43,308,92,174,76,180,76,85,20,424,95,57,51
28,32,the university of manchester,UK,United Kingdom,XL,FC,VH,A,95,33,98,21,54,288,49,274,94,160,99,44,99,10,72,66,92,75=,82
33,14,the university of melbourne,AU,Australia,XL,FC,VH,A,98,21,92,45,15,701+,92,69,93,166,100,36,100,30,93,31,90,92=,88
23,28,the university of tokyo,JP,Japan,L,FC,VH,A,100,7,100,9,90,84,70,148,10,701+,29,427,29,196,100,11,100,5,84
64,67,the university of warwick,UK,United Kingdom,L,FC,VH,A,71,86,88,56,37,420,49,275,98,109,99,47,99,87,47,148,63,239=,69
90,72,the university of western australia,AU,Australia,L,FC,VH,A,56,138,45,200,17,701+,99,23,100,29,100,34,100,83,66,82,70,204=,67
79,113,tohoku university,JP,Japan,L,FC,VH,A,72,85,84,61,99,41,30,436,14,683,14,647,14,474,17,486,75,177=,58
14,25,tsinghua university,CN,China (Mainland),XL,FC,VH,A,99,16,97,27,94,67,99,22,9,701+,16,603,16,328,82,47,56,271=,85
8,9,ucl,UK,United Kingdom,XL,FC,VH,A,100,13,98,22,98,43,74,131,99,96,100,15,100,2,52,126,93,74,92
123,158,universiti putra malaysia (upm),MY,Malaysia,L,FC,VH,A,59,129,68,113,68,194,23,519,44,381,97,72,97,341,10,701+,23,511=,50
110,111,university of alberta,CA,Canada,XL,FC,VH,A,57,135,37,266,43,370,59,213,98,116,73,193,73,68,46,152,76,170,58
58,53,university of amsterdam,NL,Netherlands,XL,FC,VH,A,84,62,44,203,21,641,98,33,92,168,80,163,80,28,50,133,65,226=,73
91,84,university of birmingham,UK,United Kingdom,XL,FC,VH,A,68,99,76,81,41,379,38,364,92,169,84,148,84,41,30,270,80,146=,63
242,182,university of calgary,CA,Canada,XL,FC,VH,A,38,229,61,129,20,668,42,330,83,222,62,241,62,232,39,188,92,82,48
27,10,"university of california, berkeley (ucb)",US,United States,XL,FC,VH,A,100,6,100,6,21,656,100,7,92,172,64,235,64,66,99,15,100,1,90
44,29,"university of california, los angeles (ucla)",US,United States,XL,FC,VH,A,100,8,100,8,37,435,85,96,43,386,25,477,25,86,97,20,91,86,84
53,62,"university of california, san diego (ucsd)",US,United States,XL,FC,VH,A,89,47,50,167,50,313,74,130,68,285,51,282,51,55,18,471,73,189=,70
1
